,question_id,exam_id,content,tip_enabled,points
11,135,12,<p>1501.25 Fr. <b>÷</b> 25 = ?</p>,0,1
12,136,12,<p>607 <b>·</b> 0.607 km = ?</p>,0,1
13,137,12,<p>338.8 m <b>÷</b> 56 cm = ?</p>,0,1
14,138,12,<p>0.85 <b>·</b> 480 l = ?</p>,0,1
15,139,12,<p>281.75 m <b>÷</b> 35 = ?</p>,0,1
16,140,13,58 t - 39 kg + 17.745 t - 8 t = ? ,0,1
17,141,13,<p>1401.75 Fr. <b>÷</b> 35 = ?</p>,0,1
18,142,13,[latex]\text{286} \cdot \text{4.865 kg} = ?[/latex],0,1
19,143,13,<p>176.5 m <b>÷</b> 25 mm = ?</p>,0,1
20,144,13,[latex]\text{96 Fr.} \cdot \text{0.875} = ?[/latex],0,1
21,145,13,<p>343.4 m <b>÷</b> 68 cm = ?</p>,0,1
22,146,13,[latex]\text{0.75} \cdot \text{360 l} = ?[/latex],0,1
23,147,13,<p>6.450 km <b>÷</b> 75 = ?</p>,0,1
24,148,13,685 * 6.485 kg = ?,0,1
25,149,13,1501.25 Fr. : 25 = ?,0,1
26,150,13,607 * 0.607 km = ?,0,1
27,151,13,338.8 m : 56 cm = ?,0,1
28,152,13,0.85 * 480 l = ?,0,1
29,153,13,281.75 m : 35 = ?,0,1
0,154,14,"Ein Serviceangestellter in einem Restaurant erhält im Monat Mai einen Anteil Trinkgeld von 1600 Fr. bei einem Umsatz von 320 000 Fr. Wie viel Trinkgeld bekommt er im Juni, wenn das Restaurant einen Mehrumsatz von 40 000 Fr. macht?",0,1
1,155,14,"Die Mensa bestellt für das Mittagessen 10 Säcke Langkornreis zu je 2 kg, sowie 8 Säcke Jasminreis zu je 1.5 kg. Sie bezahlen 58 Fr. Dabei kosten 3 kg Langkornreis so viel wie 4 kg Jasminreis. Bei einer nächsten Bestellung werden 15 Säcke Langkornreis und 12 Säcke Jasminreis bestellt. Wie viel kostet diese Bestellung?",0,1
2,156,14,"Aus einer Röhre fliessen in 15 Sekunden 12 l Wasser. Wie viele Minuten dauert es, bis [latex]\frac{4}{9} [/latex] eines Troges, der 8100 l fasst, gefüllt sind?",0,1
3,157,14,"Pro 21 Schülerinnen und Schülern erhalten 3 Kinder einen Preis für ausgezeichnete schulische Leistungen. Im ganzen Schulhaus werden 84 Preise vergeben. Wie viele Klassen hat es an der Schule, wenn in jeder Klasse 21 Kinder sind?",0,1
4,158,14,"3 Liter Orangensaft kosten 6 Franken. Lisa kauft viermal in der Woche jeweils 1 Liter ein. Wie viel Geld braucht sie, um ein ganzes Jahr lang Orangensaft kaufen zu können?",0,1
5,159,14,"Jessica, die Mutter von zwei Töchtern, hat eine bestimmte Menge Geld in ihrem Portemonnaie. Sie gibt ihrer älteren Tochter Sandra [latex]\frac{1}{4}[/latex] des Geldes, ihre jüngere Tochter Valeria erhält [latex]\frac{1}{5}[/latex] des Geldes. Danach bleiben in Jessicas Portemonnaie noch 341 Fr. übrig. Wie viel Geld erhalten die beiden Töchter? Wie viel Geld war zu Beginn im Portemonnaie der Mutter?",0,1
6,160,14,"Lea fährt jede Woche insgesamt 8 h 24 min Auto. Dabei fährt sie jeden Tag die gleiche Strecke hin und zurück. Wie lange braucht sie, um die Strecke einmal zu fahren?",0,1
7,161,14,"Selina hilft ihrem Grossvater Rasen zu mähen. Für 20 Meter braucht sie 2 Minuten. Wie viel Meter Rasen muss sie insgesamt mähen, wenn sie nach 7 Minuten [latex]\frac{1}{6}[/latex] der ganzen Arbeit erledigt hat?",0,1
8,162,14,"Maximilian hat in den letzten 5 Wochen insgesamt 31.25 Fr. Taschengeld erhalten. Er spart auch in den kommenden Wochen das gesamte Taschengeld, weil er sich ein Paar Turnschuhe kaufen möchte. Nach 4 weiteren Wochen geht er ins Kino und braucht dafür von seinem Ersparten. Der Eintritt kostet 14 Fr. und er kauft sich in der Pause noch ein Glacé für 3.70 Fr. Die weiteren 11 Wochen spart er wieder fleissig. Dann geht er in die Stadt und möchte sich die Turnschuhe kaufen. Leider hat er nicht wie erhofft 120 Fr. beisammen. Wie viel Geld fehlt ihm?",0,1
9,163,15,"Maximilian hat in den letzten 5 Wochen insgesamt 31.25 Fr. Taschengeld erhalten. Er spart auch in den kommenden Wochen das gesamte Taschengeld, weil er sich ein Paar Turnschuhe kaufen möchte. Nach 4 weiteren Wochen geht er ins Kino und braucht dafür von seinem Ersparten. Der Eintritt kostet 14 Fr. und er kauft sich in der Pause noch ein Glacé für 3.70 Fr. Die weiteren 11 Wochen spart er wieder fleissig. Dann geht er in die Stadt und möchte sich die Turnschuhe kaufen. Leider hat er nicht wie erhofft 120 Fr. beisammen. Wie viel Geld fehlt ihm?",0,1
10,164,15,<p>[latex] \text{(609} ÷ 3) \cdot (2.2 \cdot 2.4) + 0.17 - (3.32. + 2.8) = ? [/latex]</p>,0,1
11,165,15,<p>[latex] (\frac{1}{4} + \frac{1}{5}) - 0.4 +(2 \cdot (0.6 ÷ 3)) = ? [/latex]</p>,0,1
12,166,15,[latex](\frac{1}{3} -\frac{1}{4}) + (\frac{1}{2} + \frac{1}{3}) + \frac{1}{12} = ? [/latex],0,1
13,167,15,[latex] (13 \cdot 1033) - (3.25 \cdot 3) + \frac{1}{4} = ? [/latex],0,1
14,168,15,"3 Liter Orangensaft kosten 6 Franken. Lisa kauft viermal in der Woche jeweils 1 Liter ein. Wie viel Geld braucht sie, um ein ganzes Jahr lang Orangensaft kaufen zu können?",0,1
15,169,15,"Jessica, die Mutter von zwei Töchtern, hat eine bestimmte Menge Geld in ihrem Portemonnaie. Sie gibt ihrer älteren Tochter Sandra [latex]\frac{1}{4}[/latex] des Geldes, ihre jüngere Tochter Valeria erhält [latex]\frac{1}{5}[/latex] des Geldes. Danach bleiben in Jessicas Portemonnaie noch 341 Fr. übrig. Wie viel Geld erhalten die beiden Töchter? Wie viel Geld war zu Beginn im Portemonnaie der Mutter?",0,1
16,170,15,"Lea fährt jede Woche insgesamt 8 h 24 min Auto. Dabei fährt sie jeden Tag die gleiche Strecke hin und zurück. Wie lange braucht sie, um die Strecke einmal zu fahren?",0,1
17,171,15,"Selina hilft ihrem Grossvater Rasen zu mähen. Für 20 Meter braucht sie 2 Minuten. Wie viel Meter Rasen muss sie insgesamt mähen, wenn sie nach 7 Minuten [latex]\frac{1}{6}[/latex] der ganzen Arbeit erledigt hat?",0,1
18,172,17,"<p>Für die Beschneiung einer Skipiste stehen 24 Schneekanonen im Einsatz. Mit diesen würde es 40 Stunden dauern, um eine Piste ausreichend zu beschneien. Nach 12 Stunden werden zusätzlich 6 mobile Schneekanonen in Betrieb genommen, die zudem ein dreimal so grosses Leistungsvermögen wie die bisherigen Schneekanonen haben. Wie lange dauert die Pistenbeschneiung insgesamt?</p>",1,1
19,173,17,"Piraten gingen mit 30 Mann Besatzung auf See. Mit dem Proviant (Essensvorrat) wollten sie 100 Tage auskommen. Nach 20 Tagen gab es einen Kampf. 10 Mann überlebten ihn nicht. Wie lange konnten die Überlebenden noch auf See bleiben, bevor auch ihnen der Proviant ausging?",0,1
20,174,17,"Für die gesamte Kirschenernte würden 15 Bauern 20 Tage benötigen. Da die Bauern eine Regenperiode befürchten, lassen sie sich von 14 Schülerinnen während neun Tagen in den Sommerferien bei der Ernte helfen. Sieben Schülerinnen pflücken gleich viele Kirschen wie fünf Bauern in derselben Zeit. Wie viele Tage dauert die Kirschenernte mit den neuen Arbeitskräften?
",0,1
21,175,17,"Bauer Hürlimann hat 16 Pferde und 19 Kühe im Stall. Eine Kuh frisst doppelt so viel Heu wie ein Pferd. Der Heuvorrat von Bauer Hürlimann würde für 120 Tage reichen. Nach 40 Tagen nimmt der Bauer noch weitere drei Kühe in seinen Stall auf. Wie lange reicht der Heuvorrat nun insgesamt?
",0,1
22,176,17,Auf einem Segeltörn (Reise mit einem Segelboot) würden die Nahrungsmittel für die vierköpfige Besatzung 43 Tage reichen. Nach 4 Tagen erkrankt eine Person und isst deshalb während 15 Tagen nur einen Drittel der üblichen Tagesration. Am Ende des Segeltörns sind alle Vorräte aufgebraucht. Wie lange hat die Reise gedauert?,0,1
23,177,17,"13 Schüler/-innen können den Pausenplatz in 1 h 45 min vom Laub befreien. Wie lange dauert die ganze Arbeit, wenn nach 20 min acht ältere Lehrer zur Hilfe kommen, von denen jeder aber nur halb so schnell arbeitet wie die Schüler/-innen?",0,1
0,178,17,In einem Gestüt reicht der Futtervorrat für die 16 Pferde genau 105 Tage lang. Nach 9 Tagen werden 4 Pferde verkauft und nach weiteren 23 Tagen wieder 3 Pferde erworben. Wie lange reicht der Vorrat nun insgesamt?,0,1
1,179,17,"Für ein Malerprojekt hat die Firma berechnet, dass 12 Arbeiter einen ganzen Tag benötigen, wenn sie von 7:00—12:00 Uhr und dann von 13:00—18:00 Uhr arbeiten. Nach dem Mittagessen tauchen 2 Maler jedoch gar nicht mehr auf. Bis wann müssen nun die restlichen Arbeiter arbeiten, damit das Projekt beendet wird?",0,1
2,180,2,"? - 376 = 591""420",0,1
3,181,17,24 Arbeiter bauen in 30 Arbeitstagen 120 Maschinen zusammen. Für einen Auftrag für 100 Maschinen stehen 40 Arbeitstage zur Verfügung. Wie viele Arbeiter werden dafür benötigt?,0,1
4,182,17,"Drei Röhren führen zu einem Schwimmbecken. Die 1. Röhre alleine würde das Becken in 12 h, die 2. in 10 h und die 3. in 8 h füllen. Um 6:00 Uhr wird begonnen, das Becken mit allen drei Röhren zu füllen. Wenn nach 2 h die 1. und nach 3 h die 2. Röhre ausfällt, um wie viel Uhr ist dann das Becken gefüllt?",0,1
5,183,18,"Livia fährt mit dem Motorrad zu ihrer Freundin. Sie startet um 13:00 Uhr. Nach 20 Minuten fährt sie an einer Bushaltestelle vorbei. Den zweiten Teil der Strecke fährt sie mit einer konstanten Geschwindigkeit von 60 km/h weiter und erreicht ihr Ziel um 13:40 Uhr. Mit welcher Geschwindigkeit fuhr sie bis zur Bushaltestelle, wenn dieser Teil der Strecke 5 km länger ist als der zweite Teil?",0,1
6,184,18,"<p>An einer Strasse sollen Pfähle aufgestellt werden. Wäre der Abstand zwischen den Pfählen jeweils 0.65 m, so bräuchte es 144 Pfähle. Nun soll aber der Abstand zwischen zwei Pfählen um 1/5 verringert werden. Wie viele Pfähle braucht es nun?</p>",0,1
7,185,18,<p>Herr Zwerus kauft Pralinen. Er möchte zwei verschiedene Sorten: eine mit Nougatfüllung und eine mit Beerengeschmack. Diejenige mit Beerengeschmack kostet je 0.25 Fr. oder 5/23 weniger als diejenige mit Nougatfüllung. Herr Zwerus entscheidet sich für 7 Nougat- und doppelt so viele Beeren-Pralinen. Wie viel muss er bezahlen?</p>,0,1
8,186,18,Ein Treppenhaus wird erneuert. Ursprünglich waren es 40 Stufen à 19.2 cm. Neu sind die Stufen jeweils 4.8 cm höher. Wie viele Stufen hat das Treppenhaus insgesamt nach der Erneuerung?,0,1
9,187,18,"<p>In einem Wolkenkratzer mit 40 Stockwerken befindet sich in der obersten Etage ein Grossbüro. Leider hat es nur einen alten Lift, der 55 Sekunden braucht, um in den obersten Stock zu fahren und 42.5 Sekunden braucht, um wieder nach unten zu kommen. In diesem Lift haben maximal 7 Personen Platz. Die meisten Geschäftsleute kommen am Morgen mit dem Zug um dieselbe Uhrzeit an. Es müssen 168 Leute im Lift transportiert werden. Nun sollen sich die Zustände ändern. Drei hochmoderne Lifte sollen den alten Lift ablösen. In diesen neuen Liften haben jeweils 14 Personen Platz. Man möchte damit 9/10 der Zeit einsparen. Wie viele Sekunden dürfen die Lifte für Hoch- und Runterfahrt maximal benötigen, wenn der Lift am Schluss wieder unten sein soll?</p>",0,1
10,188,18,Ein Haus soll von sechs Arbeitern gebaut werden. Für 1/3 der Arbeit brauchen sie normalerweise 92 Tage. Jetzt fallen jedoch zwei Arbeiter schon zu Beginn der Arbeit aus. Nach wie vielen Tagen ist das Haus fertig?,0,1
11,189,18,"Ein Päckchen mit 270 Schrauben wiegt 3609 g. Wie viel Schrauben der gleichen Sorte befinden sich in einem Päckchen, das 6817 g wiegt?",0,1
12,190,18,"In einer Firma erhalten 16 Arbeiter einen Wochenlohn von insgesamt 20 000 Fr., wenn sie jeden Tag 8 Stunden arbeiten. Was für einen Wochenlohn erhalten 24 Arbeiter bei gleichem Stundenlohn, wenn sie nur 6 Stunden pro Tag arbeiten?",0,1
13,191,18,"Carlos plant gerade seine Ferien. Er hat ausgerechnet, dass er 10 Tage bleiben kann, wenn er jeden Tag 40 Fr. ausgibt. Beim Stöbern durchs Internet findet er noch ein Angebot für eine Tour in Lissabon, die er unbedingt machen möchte. Diese kostet 120 Fr. Wie viel Geld darf er nun noch pro Tag ausgeben, sodass er immer noch 10 Tage bleiben kann?",0,1
14,192,18,"Für eine Lagerinventur in einem Pneuhaus werden vier studentische Hilfskräfte eingestellt. Zusammen würden sie die Arbeit in 14 Stunden bewältigen. Sie arbeiten am ersten Tag von 8 Uhr bis 16:45 Uhr mit zwei Pausen von insgesamt 45 Minuten. Am zweiten Tag verschläft ein Student und so führen zunächst nur drei Hilfskräfte die Arbeit von 8 Uhr bis 10 Uhr weiter. Nach der Frühstückspause bis 10:15 Uhr sind sie wieder vollzählig und setzen die Inventur zu viert fort. Um wie viel Uhr ist die Inventur beendet, wenn sie keine weitere Pause machen?",0,1
15,193,18,"Zwei Männer errichten eine Backsteinwand. Für diese Arbeit werden zehn Tage veranschlagt. Nach vier Tagen kommt ein dritter Mann hinzu. Wie viele Tage dauert es nun insgesamt, die Wand hochzuziehen?",0,1
16,194,18,"Maja wohnt und arbeitet in Rorschach. Sie besucht oft ihre Grossmutter im 153 km entfernten Olten und braucht dafür mit dem Auto 1.7 h. An diesem Sonntag möchte sie ihre Tante in Fribourg besuchen, weil diese Geburtstag hat.Wie viel Zeit muss sie einberechnen, um die 255 km bis Fribourg zurückzulegen, wenn sie durchschnittlich gleich schnell fährt wie zur Grossmutter nach Olten?",0,1
17,195,18,"Eine Firma stellt mittels Maschinen Handys her. Die bisherige Wochenproduktion von 450 Handys soll wegen der gestiegenen Nachfrage auf 1000 Stück gesteigert werden. Gleichzeitig wird nun auch nur noch 40 statt wie bisher 45 Wochenstunden gearbeitet. Die Firma will dazu die Zahl der Mitarbeitenden von 3200 auf 4000 erhöhen und ausserdem die bisher genutzten Maschinen durch moderne ersetzen, die pro Stunde mehr Handys herstellen können. Die wie vielfache Leistung der bisher eingesetzten Maschinen müssen jetzt diese neuen Maschinen erbringen?",0,1
18,196,18,"In einem Bienenhaus wird fleissig Honig produziert. Das Bienenvolk zählt 36 600 Bienen, welche zusammen in einem Monat 18 kg Honig herstellen. Im nächsten Monat befällt die Varroamilbe den Stock, wobei 6100 Bienen sterben. Wie viel Honig kann dann in einem Monat noch gewonnen werden?",0,1
19,197,19,"Maja wohnt und arbeitet in Rorschach. Sie besucht oft ihre Grossmutter im 153 km entfernten Olten und braucht dafür mit dem Auto 1.7 h. An diesem Sonntag möchte sie ihre Tante in Fribourg besuchen, weil diese Geburtstag hat.Wie viel Zeit muss sie einberechnen, um die 255 km bis Fribourg zurückzulegen, wenn sie durchschnittlich gleich schnell fährt wie zur Grossmutter nach Olten?",0,1
20,198,19,"Lara erhält 9.30 Fr. Taschengeld. Davon darf sie sich Kaugummis kaufen. Die gelben kosten 0.30 Fr. das Stück, die blauen 0.40 Fr. Sie kauft 15 gelbe Kaugummis. Wie viele von den blauen kann sie sich für den Rest des Taschengeldes noch kaufen?",0,1
21,199,19,"In einem Bienenhaus wird fleissig Honig produziert. Das Bienenvolk zählt 36 600 Bienen, welche zusammen in einem Monat 18 kg Honig herstellen. Im nächsten Monat befällt die Varroamilbe den Stock, wobei 6100 Bienen sterben. Wie viel Honig kann dann in einem Monat noch gewonnen werden?",0,1
0,200,19,"Herr Schweizer führt einen Lebensmittelladen. Er kauft 3 Säcke à 30 Tomaten ein und bezahlt pro Tomate 0.60 Fr. Als er sie in das Obstregal einordnen will, bemerkt er, dass ein Neuntel davon nicht mehr verkauft werden kann. Er muss die übrigen Tomaten für 1.30 Fr. das Stück verkaufen. Wie gross ist sein Gewinn?",0,1
1,201,19,"Frau Bundi verkauft Blumen auf dem Markt. Sie hat bei einem Händler insgesamt 90 Blumen eingekauft, wobei sie pro Blume 90 Rp. bezahlt hat. Auf dem Weg zum Markt fällt ihr ein Dreissigstel der Blumen auf den Boden. Diese kann sie nicht mehr verkaufen. Beim Auspacken der übrigen Blumen fällt ihr auf, dass weitere 12 Blumen verwelkt sind. Die übrigen Blumen verkauft Frau Bundi für 1.60 Fr. das Stück. Wie gross ist ihr Gewinn?",0,1
2,202,19,Der Sportclub Steffisburg kann für 1078 Fr. neue Bälle kaufen. Es werden 6 Fussbälle zu je 75 Fr. und 5 Handbälle zu je 56 Fr. gekauft. Wie viele Plastikbälle zu je 12 Fr. können noch gekauft werden?,0,1
3,203,19,Ein Paar Ski wird im Sommerausverkauf auf seines ursprünglichen Preises herabgesetzt. Gegen Ende des Ausverkaufs wird dieser Preis nochmals auf die Hälfte reduziert. Er beträgt nun 234 Fr. Berechne den Preis vor Sommerausverkauf.,0,1
4,204,19,"Eine Bäuerin verkauft Schnittblumen auf dem Markt. Eine Blume soll 0.75 Fr. kosten, damit die Bäuerin 102 Fr. einnimmt. Am Vorabend zerstört ein Hagelsturm ein Viertel der Schnittblumen und 17 gehen danach noch beim Transport kaputt, sodass sie unverkäuflich sind. Zu welchem Stückpreis muss die Bäuerin die Schnittblumen jetzt verkaufen, damit sie dennoch 102 Fr. einnimmt?",0,1
5,205,19,<p>Ein Winzer verkauft seinen Wein in drei Flaschengrössen. Insgesamt nimmt er 7500 Fr. ein. Zuerst verkauft er 80 grosse Flaschen für je 15 Fr. Dann verkauft er 600 mittelgrosse Flaschen für je 8 Fr. und halb so viele kleine Flaschen. Für wie viel muss der Winzer die kleinen Flaschen verkaufen?</p>,0,1
6,206,19,"Ein Restaurant bestellt beim Lieferanten jeweils 3-kg-Dosen Bohnen. Eine Dose kostet normalerweise 10.50 Fr. Der Lieferant teilt nun mit, dass es eine Preiserhöhung gegeben hat. Neu kostet ein Kilogramm Bohnen 1.20 Fr. mehr als üblich. Man kann ausserdem nur noch 4.5-kg-Dosen kaufen. Wie teuer ist eine Dose neu?",0,1
7,207,19,"Die Fotoshop Schaller AG muss für einen bestimmten Fotoapparat beim Händler 520 Fr. pro Apparat bezahlen. Frau Schaller legt in ihrem Laden den Verkaufspreis auf 640 Fr. fest und verkauft im Januar 13 Stück von diesem Modell. Hätte sie den Verkaufspreis um einen Zwanzigstel tiefer angesetzt, so hätte sie 5 Apparate mehr verkaufen können. Wie viel hätte Frau Schaller bei diesem reduzierten Preis mehr oder wie viel weniger verdient? ",0,1
8,208,19,"Frau Lustig verkauft Rosen zum Preis von 1.90 Fr. das Stück. Nachdem sie 15 Rosen verkauft hat, verkauft sie die übrigen Rosen zum halben Preis. Wie viele Rosen muss sie nun noch verkaufen, damit sie insgesamt auf 81.70 Fr. kommt?
",0,1
9,209,19,<p>500 Liter Heizöl haben ein Gewicht von 423.500 kg. 100 kg kosten 40 Fr. In den Tank eines Wohnhauses wurden 8000 Liter Heizöl eingefüllt. a) Welches Gewicht hatte die Lieferung? b) Wie teuer ist die Rechnung für dieses Heizöl?</p>,0,1
